date,open,high,low,close,volume
2020-01-02 04:00:00,73.76,73.94,73.76,73.94,551
2020-01-02 04:30:00,73.92,73.94,73.88,73.93,316
2020-01-02 05:00:00,73.94,74.0,73.94,73.98,173
2020-01-02 05:30:00,74.0,74.01,73.95,74.0,349
2020-01-02 06:00:00,73.94,73.96,73.88,73.88,230
2020-01-02 06:30:00,73.88,73.9,73.83,73.88,238
2020-01-02 07:00:00,73.88,74.02,73.78,73.99,2993
2020-01-02 07:30:00,73.98,74.05,73.95,74.03,1416
2020-01-02 08:00:00,73.97,74.09,73.86,74.05,4343
2020-01-02 08:30:00,74.05,74.19,74.03,74.17,2803
2020-01-02 09:00:00,74.17,74.17,74.0,74.08,4783
2020-01-02 09:30:00,74.06,74.54,73.8,74.49,203479
2020-01-02 10:00:00,74.5,74.6,74.15,74.39,123943
2020-01-02 10:30:00,74.39,74.59,74.28,74.53,83526
2020-01-02 11:00:00,74.53,74.69,74.45,74.53,82047
2020-01-02 11:30:00,74.53,74.63,74.36,74.6,63839
2020-01-02 12:00:00,74.6,74.7,74.51,74.57,52006
2020-01-02 12:30:00,74.57,74.69,74.57,74.67,34108
2020-01-02 13:00:00,74.68,74.68,74.59,74.62,30811
2020-01-02 13:30:00,74.63,74.64,74.53,74.61,39890
2020-01-02 14:00:00,74.61,74.69,74.52,74.67,43459
2020-01-02 14:30:00,74.67,74.79,74.6,74.77,60646
2020-01-02 15:00:00,74.77,74.92,74.76,74.82,69156
2020-01-02 15:30:00,74.82,75.15,74.77,75.14,155253
2020-01-02 16:00:00,75.09,75.18,75.08,75.15,101892
2020-01-02 16:30:00,75.15,75.23,75.09,75.23,2707
2020-01-02 17:00:00,75.24,75.24,75.17,75.19,788
2020-01-02 17:30:00,75.2,75.21,75.19,75.19,686
2020-01-02 18:00:00,75.21,75.23,75.19,75.21,239
2020-01-02 18:30:00,75.2,75.21,75.19,75.19,248
2020-01-02 19:00:00,75.2,75.25,75.2,75.2,499
2020-01-02 19:30:00,75.23,75.3,75.22,75.3,783
2020-01-03 04:00:00,74.34,74.34,73.92,73.98,1412
2020-01-03 04:30:00,74.05,74.07,73.9,74.05,382
2020-01-03 05:00:00,74.05,74.15,73.9,74.0,391
2020-01-03 05:30:00,73.98,73.99,73.6,73.71,1050
2020-01-03 06:00:00,73.71,73.9,73.71,73.9,910
2020-01-03 06:30:00,73.96,73.98,73.83,73.92,870
2020-01-03 07:00:00,73.95,74.38,73.9,74.3,5583
2020-01-03 07:30:00,74.29,74.55,74.28,74.51,4627
2020-01-03 08:00:00,74.5,74.65,73.91,74.5,11329
2020-01-03 08:30:00,74.51,74.51,74.33,74.4,5344
2020-01-03 09:00:00,74.38,74.46,74.13,74.28,7872
2020-01-03 09:30:00,74.28,75.14,74.13,74.8,274964
2020-01-03 10:00:00,74.8,74.9,74.4,74.87,116969
2020-01-03 10:30:00,74.86,74.87,74.56,74.66,71836
2020-01-03 11:00:00,74.67,74.69,74.49,74.56,52877
2020-01-03 11:30:00,74.55,74.96,74.53,74.84,75249
2020-01-03 12:00:00,74.84,75.04,74.83,74.86,55078
2020-01-03 12:30:00,74.86,75.14,74.84,75.05,65347
2020-01-03 13:00:00,75.06,75.1,74.93,74.99,43933
2020-01-03 13:30:00,75.0,75.04,74.69,74.85,59566
2020-01-03 14:00:00,74.85,74.9,74.71,74.78,35219
2020-01-03 14:30:00,74.78,74.99,74.76,74.96,39105
2020-01-03 15:00:00,74.95,75.01,74.63,74.64,69455
2020-01-03 15:30:00,74.64,74.65,74.34,74.35,128273
2020-01-03 16:00:00,74.36,74.47,74.36,74.39,139687
2020-01-03 16:30:00,74.38,74.42,74.36,74.38,1467
2020-01-03 17:00:00,74.41,74.41,74.38,74.38,648
2020-01-03 17:30:00,74.38,74.42,74.37,74.4,431
2020-01-03 18:00:00,74.41,74.42,74.41,74.42,234
2020-01-03 18:30:00,74.42,74.45,74.42,74.42,350
2020-01-03 19:00:00,74.41,74.41,74.37,74.37,541
2020-01-03 19:30:00,74.36,74.37,74.33,74.33,679
2020-01-06 04:00:00,73.86,73.88,73.49,73.58,563
2020-01-06 04:30:00,73.56,73.73,73.5,73.73,544
2020-01-06 05:00:00,73.73,73.83,73.7,73.78,344
2020-01-06 05:30:00,73.68,73.74,73.67,73.74,242
2020-01-06 06:00:00,73.68,73.78,73.48,73.78,655
2020-01-06 06:30:00,73.77,73.77,73.56,73.67,544
2020-01-06 07:00:00,73.69,73.88,73.62,73.88,2631
2020-01-06 07:30:00,73.85,73.85,73.6,73.69,3259
2020-01-06 08:00:00,73.76,73.88,73.57,73.73,6739
2020-01-06 08:30:00,73.73,73.75,73.57,73.65,4166
2020-01-06 09:00:00,73.63,73.81,73.37,73.45,9036
2020-01-06 09:30:00,73.45,74.25,73.19,74.21,214685
2020-01-06 10:00:00,74.22,74.39,74.06,74.39,81433
2020-01-06 10:30:00,74.39,74.56,74.14,74.51,77361
2020-01-06 11:00:00,74.52,74.89,74.41,74.8,90047
2020-01-06 11:30:00,74.8,74.91,74.56,74.61,52650
2020-01-06 12:00:00,74.61,74.61,74.29,74.47,60482
2020-01-06 12:30:00,74.47,74.56,74.41,74.53,31495
2020-01-06 13:00:00,74.54,74.72,74.51,74.69,37614
2020-01-06 13:30:00,74.69,74.84,74.68,74.8,36982
2020-01-06 14:00:00,74.8,74.99,74.77,74.85,55297
2020-01-06 14:30:00,74.85,74.86,74.75,74.85,40171
2020-01-06 15:00:00,74.85,74.92,74.77,74.81,43047
2020-01-06 15:30:00,74.81,74.97,74.74,74.95,97482
2020-01-06 16:00:00,74.95,74.97,74.83,74.88,56720
2020-01-06 16:30:00,74.86,74.95,74.84,74.89,851
2020-01-06 17:00:00,74.88,74.92,74.88,74.9,569
2020-01-06 17:30:00,74.9,74.92,74.85,74.89,451
2020-01-06 18:00:00,74.89,74.89,74.88,74.88,32
2020-01-06 18:30:00,74.89,74.89,74.75,74.75,732
2020-01-06 19:00:00,74.76,74.86,74.76,74.84,203
2020-01-06 19:30:00,74.85,74.92,74.85,74.91,661
2020-01-07 04:00:00,75.12,75.2,75.09,75.2,465
2020-01-07 04:30:00,75.23,75.23,75.03,75.13,204
2020-01-07 05:00:00,75.12,75.12,75.12,75.12,4
2020-01-07 05:30:00,75.06,75.08,75.05,75.08,615
2020-01-07 06:00:00,75.08,75.11,75.03,75.05,610
2020-01-07 06:30:00,75.03,75.05,74.96,74.98,382
2020-01-07 07:00:00,75.0,75.17,74.98,75.17,2932
2020-01-07 07:30:00,75.15,75.15,75.06,75.14,1143
2020-01-07 08:00:00,75.0,75.15,74.98,75.02,4065
2020-01-07 08:30:00,75.0,75.02,74.85,74.89,3168
2020-01-07 09:00:00,74.9,75.02,74.86,74.98,4538
2020-01-07 09:30:00,74.97,75.23,74.44,74.71,194713
2020-01-07 10:00:00,74.72,74.84,74.37,74.5,92395
2020-01-07 10:30:00,74.49,74.89,74.39,74.85,75496
2020-01-07 11:00:00,74.85,74.97,74.79,74.94,48974
2020-01-07 11:30:00,74.94,74.96,74.64,74.73,51352
2020-01-07 12:00:00,74.74,74.83,74.66,74.78,33039
2020-01-07 12:30:00,74.78,74.91,74.71,74.89,29945
2020-01-07 13:00:00,74.89,75.1,74.89,74.97,47579
2020-01-07 13:30:00,74.97,75.02,74.91,75.02,25766
2020-01-07 14:00:00,75.02,75.03,74.76,74.82,32459
2020-01-07 14:30:00,74.82,74.85,74.74,74.75,30584
2020-01-07 15:00:00,74.75,74.83,74.73,74.83,38811
2020-01-07 15:30:00,74.83,74.89,74.49,74.57,88900
2020-01-07 16:00:00,74.6,74.6,74.52,74.55,82395
2020-01-07 16:30:00,74.53,74.6,74.35,74.48,2912
2020-01-07 17:00:00,74.46,74.6,74.42,74.46,290
2020-01-07 17:30:00,74.46,74.6,74.44,74.46,276
2020-01-07 18:00:00,74.44,74.5,73.86,74.0,2792
2020-01-07 18:30:00,74.05,74.05,73.42,73.65,6630
2020-01-07 19:00:00,73.64,73.67,73.2,73.22,5264
2020-01-07 19:30:00,73.23,73.25,73.0,73.15,7732
2020-01-08 04:00:00,74.13,74.35,74.13,74.25,892
2020-01-08 04:30:00,74.26,74.31,74.17,74.3,240
2020-01-08 05:00:00,74.25,74.5,74.25,74.45,364
2020-01-08 05:30:00,74.48,74.5,74.45,74.5,100
2020-01-08 06:00:00,74.56,74.63,74.5,74.63,321
2020-01-08 06:30:00,74.66,74.69,74.57,74.59,541
2020-01-08 07:00:00,74.54,74.59,74.4,74.51,2257
2020-01-08 07:30:00,74.49,74.64,74.49,74.62,1444
2020-01-08 08:00:00,74.42,74.78,74.39,74.67,5032
2020-01-08 08:30:00,74.7,74.7,74.44,74.53,2205
2020-01-08 09:00:00,74.55,74.58,74.23,74.29,4560
2020-01-08 09:30:00,74.29,74.78,74.29,74.59,129643
2020-01-08 10:00:00,74.6,74.69,74.49,74.62,58550
2020-01-08 10:30:00,74.62,74.67,74.34,74.43,52937
2020-01-08 11:00:00,74.43,74.87,74.38,74.72,58030
2020-01-08 11:30:00,74.72,75.05,74.6,75.02,115424
2020-01-08 12:00:00,75.02,75.61,75.02,75.6,105217
2020-01-08 12:30:00,75.6,75.76,75.38,75.66,97282
2020-01-08 13:00:00,75.66,75.78,75.6,75.73,51065
2020-01-08 13:30:00,75.73,75.81,75.62,75.65,45004
2020-01-08 14:00:00,75.65,75.76,75.63,75.66,30532
2020-01-08 14:30:00,75.66,75.77,75.63,75.77,35724
2020-01-08 15:00:00,75.77,76.08,75.76,76.03,82842
2020-01-08 15:30:00,76.03,76.11,75.56,75.79,146068
2020-01-08 16:00:00,75.8,75.91,75.61,75.8,96932
2020-01-08 16:30:00,75.81,75.92,75.79,75.86,1734
2020-01-08 17:00:00,75.87,75.89,75.83,75.87,504
2020-01-08 17:30:00,75.83,75.85,75.82,75.83,180
2020-01-08 18:00:00,75.84,75.97,75.83,75.97,1044
2020-01-08 18:30:00,75.95,75.95,75.83,75.91,462
2020-01-08 19:00:00,75.92,75.99,75.9,75.9,679
2020-01-08 19:30:00,75.92,76.0,75.9,76.0,791
2020-01-09 04:00:00,76.3,76.49,76.26,76.39,770
2020-01-09 04:30:00,76.41,76.46,76.41,76.46,101
2020-01-09 05:00:00,76.46,76.5,76.41,76.41,422
2020-01-09 05:30:00,76.4,76.43,76.35,76.42,348
2020-01-09 06:00:00,76.42,76.42,76.35,76.4,85
2020-01-09 06:30:00,76.4,76.46,76.35,76.35,239
2020-01-09 07:00:00,76.35,76.67,76.31,76.57,4813
2020-01-09 07:30:00,76.6,76.64,76.45,76.58,2776
2020-01-09 08:00:00,76.5,76.7,76.39,76.67,4684
2020-01-09 08:30:00,76.67,76.78,76.67,76.69,4355
2020-01-09 09:00:00,76.7,76.88,76.66,76.81,5751
2020-01-09 09:30:00,76.81,77.23,76.72,77.08,274399
2020-01-09 10:00:00,77.07,77.16,76.86,77.08,109117
2020-01-09 10:30:00,77.08,77.36,77.01,77.28,96285
2020-01-09 11:00:00,77.28,77.5,77.25,77.44,105314
2020-01-09 11:30:00,77.44,77.61,77.4,77.48,96914
2020-01-09 12:00:00,77.49,77.51,76.89,76.98,111746
2020-01-09 12:30:00,76.99,76.99,76.55,76.91,127706
2020-01-09 13:00:00,76.91,77.35,76.86,77.35,107154
