date,open,high,low,close,volume
2020-01-02 04:00:00,93.21,93.21,93.21,93.21,20
2020-01-02 04:30:00,93.25,93.25,93.25,93.25,20
2020-01-02 05:00:00,93.25,93.25,93.25,93.25,0
2020-01-02 05:30:00,93.25,93.25,93.25,93.25,0
2020-01-02 06:00:00,93.25,93.25,93.25,93.25,0
2020-01-02 06:30:00,93.25,93.25,93.25,93.25,0
2020-01-02 07:00:00,93.24,93.34,93.24,93.34,637
2020-01-02 07:30:00,93.35,93.43,93.35,93.41,459
2020-01-02 08:00:00,93.06,93.48,92.39,93.46,870
2020-01-02 08:30:00,93.41,93.59,93.41,93.59,1501
2020-01-02 09:00:00,93.61,93.75,93.4,93.75,2716
2020-01-02 09:30:00,93.75,94.1,93.53,93.83,84096
2020-01-02 10:00:00,93.82,93.82,93.21,93.44,39318
2020-01-02 10:30:00,93.45,93.55,93.29,93.53,23535
2020-01-02 11:00:00,93.53,93.69,93.46,93.46,17408
2020-01-02 11:30:00,93.45,93.64,93.3,93.62,17674
2020-01-02 12:00:00,93.62,93.75,93.5,93.72,18022
2020-01-02 12:30:00,93.73,93.95,93.72,93.88,23704
2020-01-02 13:00:00,93.87,93.91,93.79,93.83,11989
2020-01-02 13:30:00,93.83,94.06,93.81,94.06,14369
2020-01-02 14:00:00,94.06,94.67,94.04,94.67,34975
2020-01-02 14:30:00,94.65,94.87,94.55,94.75,44289
2020-01-02 15:00:00,94.75,94.84,94.55,94.65,24703
2020-01-02 15:30:00,94.66,94.9,94.56,94.89,54487
2020-01-02 16:00:00,94.9,94.99,94.89,94.99,70263
2020-01-02 16:30:00,94.9,95.02,94.9,95.02,2286
2020-01-02 17:00:00,94.96,94.96,94.96,94.96,40
2020-01-02 17:30:00,94.96,94.96,94.96,94.96,0
2020-01-02 18:00:00,94.98,95.0,94.98,95.0,40
2020-01-02 18:30:00,95.0,95.0,94.96,94.96,65
2020-01-02 19:00:00,94.94,94.99,94.94,94.99,114
2020-01-02 19:30:00,94.96,94.99,94.96,94.99,203
2020-01-03 04:00:00,93.5,93.5,93.38,93.4,96
2020-01-03 04:30:00,93.4,93.4,93.4,93.4,20
2020-01-03 05:00:00,93.59,93.59,93.5,93.5,60
2020-01-03 05:30:00,93.36,93.36,93.01,93.01,264
2020-01-03 06:00:00,93.15,93.16,93.15,93.16,40
2020-01-03 06:30:00,93.15,93.15,93.0,93.14,562
2020-01-03 07:00:00,93.24,93.6,93.15,93.45,1859
2020-01-03 07:30:00,93.45,93.55,93.39,93.55,690
2020-01-03 08:00:00,93.4,93.8,93.1,93.75,3708
2020-01-03 08:30:00,93.65,93.67,93.55,93.58,1138
2020-01-03 09:00:00,93.58,93.65,93.15,93.3,3042
2020-01-03 09:30:00,93.23,94.17,93.23,93.65,99708
